Student_Answer_Id,Exam_Id,Student_Id,Course_Id,Student_Answer_txt,Student_Question_Grade
1,1,1,1,FALSE,0
2,1,2,1,FALSE,0
3,1,3,1,FALSE,0
4,1,32,1,TRUE,1
5,1,33,1,TRUE,1
6,1,34,1,TRUE,1
7,1,63,1,TRUE,1
8,1,64,1,TRUE,1
9,1,65,1,FALSE,0
10,1,94,1,TRUE,1
11,1,95,1,FALSE,0
12,1,96,1,TRUE,1
13,1,125,1,TRUE,1
14,1,126,1,FALSE,0
15,1,127,1,TRUE,1
16,1,156,1,FALSE,0
17,1,157,1,TRUE,1
18,1,158,1,TRUE,1
19,1,187,1,TRUE,1
20,1,188,1,TRUE,1
21,1,189,1,FALSE,0
22,1,218,1,FALSE,0
23,1,219,1,ABSENT,0
24,1,220,1,TRUE,1
25,1,249,1,TRUE,1
26,1,250,1,FALSE,0
27,1,251,1,TRUE,1
28,1,280,1,TRUE,1
29,1,281,1,TRUE,1
30,1,282,1,FALSE,0
31,1,311,1,FALSE,0
32,1,312,1,FALSE,0
33,1,313,1,FALSE,0
34,1,342,1,FALSE,0
35,1,343,1,TRUE,1
36,1,344,1,FALSE,0
37,1,374,1,FALSE,0
38,1,375,1,FALSE,0
39,1,376,1,FALSE,0
40,1,1,1,FALSE,1
41,1,2,1,FALSE,1
42,1,3,1,TRUE,0
43,1,32,1,FALSE,1
44,1,33,1,TRUE,0
45,1,34,1,TRUE,0
46,1,63,1,TRUE,0
47,1,64,1,TRUE,0
48,1,65,1,TRUE,0
49,1,94,1,FALSE,1
50,1,95,1,TRUE,0
51,1,96,1,TRUE,0
52,1,125,1,TRUE,0
53,1,126,1,TRUE,0
54,1,127,1,FALSE,1
55,1,156,1,TRUE,0
56,1,157,1,FALSE,1
57,1,158,1,TRUE,0
58,1,187,1,FALSE,1
59,1,188,1,TRUE,0
60,1,189,1,FALSE,1
61,1,218,1,TRUE,0
62,1,219,1,ABSENT,0
63,1,220,1,TRUE,0
64,1,249,1,FALSE,1
65,1,250,1,FALSE,1
66,1,251,1,TRUE,0
67,1,280,1,TRUE,0
68,1,281,1,TRUE,0
69,1,282,1,TRUE,0
70,1,311,1,TRUE,0
71,1,312,1,FALSE,1
72,1,313,1,FALSE,1
73,1,342,1,FALSE,1
74,1,343,1,TRUE,0
75,1,344,1,TRUE,0
76,1,374,1,FALSE,1
77,1,375,1,TRUE,0
78,1,376,1,TRUE,0
79,1,1,1,FALSE,0
80,1,2,1,TRUE,1
81,1,3,1,FALSE,0
82,1,32,1,TRUE,1
83,1,33,1,FALSE,0
84,1,34,1,FALSE,0
85,1,63,1,TRUE,1
86,1,64,1,FALSE,0
87,1,65,1,TRUE,1
88,1,94,1,TRUE,1
89,1,95,1,FALSE,0
90,1,96,1,TRUE,1
91,1,125,1,FALSE,0
92,1,126,1,TRUE,1
93,1,127,1,FALSE,0
94,1,156,1,FALSE,0
95,1,157,1,TRUE,1
96,1,158,1,TRUE,1
97,1,187,1,FALSE,0
98,1,188,1,FALSE,0
99,1,189,1,FALSE,0
100,1,218,1,FALSE,0
101,1,219,1,ABSENT,0
102,1,220,1,FALSE,0
103,1,249,1,TRUE,1
104,1,250,1,FALSE,0
105,1,251,1,TRUE,1
106,1,280,1,TRUE,1
107,1,281,1,TRUE,1
108,1,282,1,TRUE,1
109,1,311,1,FALSE,0
110,1,312,1,FALSE,0
111,1,313,1,TRUE,1
112,1,342,1,TRUE,1
113,1,343,1,TRUE,1
114,1,344,1,FALSE,0
115,1,374,1,FALSE,0
116,1,375,1,FALSE,0
117,1,376,1,FALSE,0
118,1,1,1,FALSE,1
119,1,2,1,FALSE,1
120,1,3,1,TRUE,0
121,1,32,1,FALSE,1
122,1,33,1,FALSE,1
123,1,34,1,FALSE,1
124,1,63,1,TRUE,0
125,1,64,1,FALSE,1
126,1,65,1,FALSE,1
127,1,94,1,TRUE,0
128,1,95,1,TRUE,0
129,1,96,1,TRUE,0
130,1,125,1,FALSE,1
131,1,126,1,FALSE,1
132,1,127,1,TRUE,0
133,1,156,1,FALSE,1
134,1,157,1,TRUE,0
135,1,158,1,FALSE,1
136,1,187,1,FALSE,1
137,1,188,1,FALSE,1
138,1,189,1,TRUE,0
139,1,218,1,TRUE,0
140,1,219,1,ABSENT,0
141,1,220,1,TRUE,0
142,1,249,1,TRUE,0
143,1,250,1,FALSE,1
144,1,251,1,TRUE,0
145,1,280,1,TRUE,0
146,1,281,1,FALSE,1
147,1,282,1,TRUE,0
148,1,311,1,TRUE,0
149,1,312,1,FALSE,1
150,1,313,1,FALSE,1
151,1,342,1,TRUE,0
152,1,343,1,TRUE,0
153,1,344,1,FALSE,1
154,1,374,1,FALSE,1
155,1,375,1,FALSE,1
156,1,376,1,FALSE,1
157,1,1,1,TRUE,1
158,1,2,1,FALSE,0
159,1,3,1,TRUE,1
160,1,32,1,TRUE,1
161,1,33,1,FALSE,0
162,1,34,1,FALSE,0
163,1,63,1,FALSE,0
164,1,64,1,FALSE,0
165,1,65,1,FALSE,0
166,1,94,1,FALSE,0
167,1,95,1,TRUE,1
168,1,96,1,FALSE,0
169,1,125,1,TRUE,1
170,1,126,1,FALSE,0
171,1,127,1,TRUE,1
172,1,156,1,TRUE,1
173,1,157,1,FALSE,0
174,1,158,1,FALSE,0
175,1,187,1,FALSE,0
176,1,188,1,FALSE,0
177,1,189,1,TRUE,1
178,1,218,1,FALSE,0
179,1,219,1,ABSENT,0
180,1,220,1,FALSE,0
181,1,249,1,TRUE,1
182,1,250,1,TRUE,1
183,1,251,1,FALSE,0
184,1,280,1,FALSE,0
185,1,281,1,TRUE,1
186,1,282,1,FALSE,0
187,1,311,1,TRUE,1
188,1,312,1,TRUE,1
189,1,313,1,TRUE,1
190,1,342,1,TRUE,1
191,1,343,1,FALSE,0
192,1,344,1,TRUE,1
193,1,374,1,TRUE,1
194,1,375,1,FALSE,0
195,1,376,1,FALSE,0
196,1,1,1,C,0
197,1,2,1,B,0
198,1,3,1,B,0
199,1,32,1,D,0
200,1,33,1,D,0
201,1,34,1,B,0
202,1,63,1,B,0
203,1,64,1,B,0
204,1,65,1,C,0
